"","yrs_at_risk","mu","y","rho_ml"
"3394",16.268,5.7219,13,2.27198
"3395",86.149,8.9395,5,0.55931
"3396",172.044,40.8851,36,0.88052
"3397",8.95,2.6845,6,2.23505308251071
"3398",31.767,7.3583,6,0.81541
"3399",7.65,1.5555,2,1.28576020572163
"3400",48.893,9.0104,10,1.10983
"3401",50.508,11.2387,10,0.88978
"3402",14.396,0.971,0,0
"3403",16.041,4.3262,2,0.4623
"3404",34.615,3.8012,4,1.05229
"3405",57.355,10.7144,8,0.74666
"3406",18.33,5.9146,9,1.52166
"3407",40.679,8.6667,5,0.57692
"3408",120.753,20.5536,26,1.26499
"3409",28.424,6.6537,7,1.05205
"3410",218.259,38.2364,37,0.96766
"3411",176.649,45.2217,32,0.70763
"3412",36.813,4.987,4,0.80208
"3413",95.526,15.19,17,1.11916
"3414",63.318,6.5451,5,0.76393
"3415",163.086,22.3064,14,0.62762
"3416",147.822,32.6349,25,0.76605
"3417",53.544,13.8664,12,0.8654
"3418",28.153,7.3975,16,2.16288
"3419",71.091,9.7945,7,0.71469
"3420",98.543,15.2896,21,1.37348
"3421",207.337,28.5169,29,1.01694
"3422",112.282,31.5312,33,1.04658
"3423",77.021,17.0267,9,0.52858
"3424",133.188,13.5955,17,1.25042
"3425",158.437,29.9791,34,1.13412
"3426",124.619,22.8038,18,0.78934
"3427",150.363,31.0955,32,1.02909
"3428",171.231,28.0119,32,1.14237
"3429",350.946,59.6308,47,0.78818
"3430",136.783,31.6314,25,0.79035
"3431",133.202,21.083,13,0.61661
"3432",296.005,43.1481,30,0.69528
"3433",116.159,22.0565,17,0.77075
"3434",178.007,31.4946,22,0.69853
"3435",126.174,21.9591,26,1.18402
"3436",127.6,18.4823,21,1.13622
"3437",150.418,28.3233,17,0.60021
"3438",175.296,25.7994,25,0.96902
"3439",75.975,12.8506,17,1.3229
"3440",154.817,21.0161,20,0.95165
"3441",219.825,30.7951,26,0.84429
"3442",86.65,18.972,23,1.21231
"3443",165.372,20.2295,16,0.79092
"3444",160.646,18.58,16,0.86114
"3445",57.925,7.4908,12,1.60197
"3446",136.715,22.6851,28,1.23429
"3447",165.684,24.0857,10,0.41518
"3448",288.345,42.1863,47,1.11411
"3449",73.5,10.6306,11,1.03475
"3450",141.18,25.5105,20,0.78399
"3451",144.717,20.2404,18,0.88931
"3452",67.877,11.7014,15,1.2819
"3453",191.726,34.8488,24,0.68869
"3454",109.875,20.2364,25,1.2354
"3455",58.637,13.451,11,0.81778
"3456",140.898,20.7666,19,0.91493
"3457",155.86,27.54,18,0.6536
"3458",78.48,20.2384,19,0.93881
"3459",67.696,11.2466,16,1.42266
"3460",75.808,15.1709,9,0.59324
"3461",200.671,24.5243,19,0.77474
"3462",113.634,26.525,29,1.09331
"3463",116.471,30.1337,28,0.92919
"3464",41.448,7.936,5,0.63004
"3465",143.641,26.8892,28,1.04131
"3466",58.806,15.0223,17,1.13165
"3467",144.175,23.3511,12,0.51389
"3468",110.092,16.8426,11,0.65311
"3469",146.516,19.3944,21,1.08278
"3470",168.32,30.1011,31,1.02986
"3471",142.943,27.5492,23,0.83487
"3472",109.506,19.5917,9,0.45938
"3473",206.694,32.5617,31,0.95204
"3474",150.136,25.3652,21,0.8279
